iter	Passed	Remaining
0	224	224040
1	262	131032
2	280	93291
3	300	74786
4	324	64597
5	343	56963
6	362	51380
7	384	47654
8	405	44665
9	423	41882
10	452	40650
11	476	39234
12	499	37941
13	523	36875
14	548	35985
15	571	35117
16	596	34491
17	621	33893
18	647	33408
19	668	32770
20	681	31754
21	708	31485
22	735	31223
23	760	30917
24	786	30672
25	814	30502
26	839	30268
27	858	29792
28	900	30137
29	932	30148
30	966	30195
31	997	30174
32	1025	30060
33	1048	29780
34	1057	29159
35	1079	28896
36	1100	28633
37	1123	28438
38	1144	28203
39	1166	27989
40	1186	27764
41	1206	27519
42	1228	27340
43	1248	27134
44	1267	26890
45	1289	26743
46	1311	26593
47	1335	26495
48	1357	26352
49	1373	26092
50	1390	25882
51	1412	25753
52	1434	25638
53	1457	25538
54	1479	25418
55	1503	25336
56	1527	25270
57	1552	25216
58	1578	25172
59	1603	25115
60	1630	25097
61	1655	25044
62	1682	25026
63	1710	25017
64	1735	24965
65	1762	24940
66	1788	24900
67	1810	24812
68	1832	24722
69	1852	24617
70	1868	24442
71	1891	24377
72	1915	24319
73	1936	24238
74	1959	24162
75	1968	23926
76	1990	23858
77	2015	23819
78	2036	23742
79	2057	23659
80	2072	23515
81	2094	23448
82	2115	23370
83	2138	23318
84	2160	23254
85	2180	23170
86	2201	23103
87	2222	23036
88	2245	22980
89	2266	22916
90	2286	22844
91	2308	22784
92	2330	22724
93	2349	22646
94	2373	22609
95	2395	22561
96	2418	22515
97	2426	22338
98	2441	22222
99	2464	22177
100	2484	22117
101	2505	22060
102	2528	22018
103	2533	21828
104	2542	21669
105	2555	21554
106	2577	21507
107	2598	21463
108	2607	21312
109	2628	21266
110	2648	21213
111	2670	21169
112	2681	21047
113	2702	21000
114	2726	20984
115	2749	20954
116	2770	20912
117	2776	20756
118	2797	20707
119	2819	20674
120	2840	20637
121	2848	20502
122	2872	20477
123	2893	20442
124	2913	20393
125	2934	20357
126	2960	20348
127	2982	20318
128	3004	20284
129	3015	20178
130	3034	20132
131	3055	20091
132	3066	19992
133	3076	19880
134	3096	19841
135	3119	19820
136	3125	19688
137	3131	19560
138	3153	19533
139	3173	19497
140	3195	19467
141	3215	19431
142	3227	19342
143	3248	19309
144	3271	19290
145	3293	19263
146	3314	19235
147	3336	19205
148	3357	19174
149	3362	19053
150	3386	19040
151	3406	19004
152	3428	18982
153	3451	18958
154	3472	18932
155	3493	18900
156	3512	18857
157	3533	18830
158	3541	18734
159	3550	18638
160	3572	18617
161	3594	18592
162	3619	18583
163	3640	18556
164	3661	18531
165	3689	18538
166	3715	18531
167	3743	18538
168	3767	18525
169	3778	18446
170	3803	18437
171	3825	18417
172	3849	18399
173	3876	18404
174	3904	18407
175	3918	18347
176	3931	18281
177	3958	18280
178	3984	18273
179	4009	18267
180	4037	18269
181	4062	18259
182	4088	18253
183	4097	18173
184	4126	18177
185	4152	18174
186	4178	18165
187	4203	18155
188	4225	18130
189	4251	18125
190	4278	18120
191	4301	18102
192	4326	18088
193	4350	18076
194	4375	18064
195	4400	18051
196	4421	18024
197	4446	18010
198	4471	17997
199	4494	17977
200	4517	17957
201	4540	17938
202	4566	17927
203	4590	17911
204	4619	17913
205	4646	17907
206	4671	17898
207	4696	17882
208	4723	17876
209	4750	17869
210	4775	17858
211	4802	17849
212	4828	17841
213	4854	17829
214	4882	17825
215	4908	17814
216	4932	17797
217	4956	17778
218	4981	17766
219	5006	17751
220	5030	17733
221	5055	17717
222	5085	17720
223	5121	17741
224	5151	17743
225	5181	17745
226	5212	17749
227	5248	17769
228	5277	17769
229	5311	17780
230	5344	17791
231	5376	17797
232	5406	17798
233	5439	17806
234	5469	17805
235	5499	17802
236	5530	17806
237	5570	17834
238	5602	17838
239	5634	17843
240	5665	17842
241	5688	17816
242	5713	17797
243	5736	17774
244	5758	17746
245	5780	17718
246	5802	17690
247	5824	17660
248	5846	17632
249	5864	17593
250	5886	17564
251	5907	17535
252	5929	17507
253	5951	17478
254	5973	17451
255	5988	17404
256	6008	17370
257	6030	17342
258	6052	17317
259	6074	17288
260	6089	17240
261	6111	17213
262	6133	17187
263	6155	17161
264	6178	17137
265	6202	17114
266	6228	17099
267	6252	17077
268	6279	17064
269	6306	17050
270	6326	17019
271	6351	16998
272	6380	16991
273	6406	16975
274	6433	16960
275	6462	16951
276	6488	16936
277	6514	16920
278	6543	16910
279	6569	16893
280	6593	16871
281	6622	16860
282	6646	16839
283	6673	16824
284	6698	16806
285	6725	16790
286	6752	16776
287	6778	16758
288	6804	16739
289	6827	16716
290	6852	16695
291	6897	16725
292	6921	16700
293	6947	16684
294	6970	16657
295	6990	16627
296	7014	16602
297	7035	16572
298	7056	16542
299	7078	16517
300	7102	16494
301	7127	16473
302	7150	16449
303	7173	16424
304	7197	16400
305	7220	16375
306	7244	16352
307	7267	16328
308	7282	16285
309	7306	16261
310	7328	16235
311	7350	16209
312	7373	16183
313	7395	16156
314	7418	16131
315	7442	16109
316	7466	16086
317	7488	16060
318	7511	16035
319	7534	16011
320	7556	15983
321	7578	15956
322	7601	15931
323	7625	15910
324	7649	15886
325	7671	15860
326	7692	15831
327	7711	15798
328	7734	15774
329	7756	15748
330	7779	15722
331	7798	15691
332	7820	15664
333	7842	15638
334	7858	15599
335	7880	15573
336	7904	15550
337	7928	15527
338	7950	15502
339	7964	15461
340	7987	15435
341	8011	15414
342	8035	15390
343	8063	15376
344	8091	15362
345	8121	15350
346	8142	15323
347	8165	15298
348	8187	15271
349	8206	15240
350	8226	15210
351	8249	15186
352	8269	15157
353	8291	15130
354	8303	15087
355	8323	15056
356	8340	15022
357	8362	14997
358	8380	14963
359	8402	14938
360	8424	14911
361	8440	14876
362	8461	14847
363	8484	14824
364	8505	14797
365	8527	14771
366	8548	14744
367	8570	14719
368	8590	14690
369	8613	14666
370	8632	14635
371	8651	14604
372	8673	14580
373	8695	14554
374	8716	14527
375	8736	14499
376	8759	14475
377	8780	14448
378	8797	14414
379	8825	14400
380	8847	14373
381	8862	14337
382	8879	14303
383	8900	14277
384	8922	14253
385	8946	14231
386	8970	14208
387	8992	14184
388	9015	14160
389	9039	14139
390	9062	14114
391	9080	14083
392	9104	14061
393	9126	14037
394	9149	14013
395	9173	13992
396	9194	13965
397	9216	13940
398	9241	13919
399	9265	13897
400	9287	13873
401	9308	13846
402	9330	13822
403	9355	13801
404	9377	13776
405	9402	13756
406	9425	13733
407	9449	13711
408	9469	13682
409	9493	13661
410	9517	13639
411	9541	13617
412	9569	13601
413	9592	13578
414	9618	13558
415	9640	13534
416	9663	13510
417	9687	13488
418	9711	13465
419	9735	13443
420	9759	13422
421	9783	13399
422	9808	13379
423	9833	13359
424	9859	13338
425	9884	13319
426	9906	13294
427	9927	13267
428	9952	13246
429	9975	13223
430	9998	13200
431	10019	13173
432	10042	13150
433	10064	13125
434	10085	13099
435	10108	13075
436	10131	13053
437	10153	13027
438	10178	13007
439	10203	12986
440	10226	12963
441	10251	12941
442	10274	12918
443	10299	12897
444	10321	12873
445	10376	12888
446	10527	13024
447	10575	13030
448	10621	13033
449	10717	13099
450	10756	13094
451	10803	13098
452	10842	13092
453	10872	13075
454	10904	13061
455	10938	13048
456	10969	13034
457	11002	13019
458	11034	13005
459	11068	12993
460	11099	12977
461	11130	12961
462	11217	13010
463	11287	13039
464	11350	13058
465	11386	13047
466	11421	13035
467	11475	13044
468	11518	13041
469	11552	13026
470	11597	13025
471	11632	13012
472	11662	12994
473	11688	12971
474	11716	12950
475	11745	12929
476	11778	12914
477	11807	12894
478	11836	12874
479	11867	12856
480	11901	12842
481	11936	12827
482	11969	12812
483	12000	12793
484	12029	12773
485	12053	12748
486	12078	12723
487	12100	12695
488	12123	12668
489	12147	12643
490	12174	12620
491	12196	12593
492	12217	12564
493	12240	12537
494	12265	12513
495	12288	12487
496	12310	12459
497	12333	12432
498	12358	12408
499	12381	12381
500	12402	12352
501	12422	12323
502	12445	12297
503	12471	12273
504	12495	12247
505	12514	12217
506	12538	12192
507	12561	12166
508	12588	12143
509	12612	12118
510	12639	12095
511	12664	12070
512	12688	12045
513	12711	12019
514	12735	11994
515	12758	11967
516	12784	11944
517	12808	11918
518	12832	11893
519	12860	11870
520	12886	11847
521	12909	11821
522	12932	11795
523	12956	11769
524	12981	11745
525	13004	11718
526	13030	11695
527	13052	11668
528	13075	11641
529	13099	11616
530	13123	11591
531	13149	11567
532	13174	11543
533	13208	11526
534	13241	11508
535	13281	11497
536	13318	11483
537	13354	11467
538	13388	11451
539	13424	11435
540	13457	11417
541	13498	11406
542	13533	11390
543	13570	11374
544	13605	11358
545	13640	11342
546	13713	11357
547	13751	11342
548	13794	11331
549	13829	11314
550	13871	11303
551	13907	11287
552	13951	11277
553	13980	11254
554	14012	11235
555	14041	11212
556	14071	11191
557	14104	11172
558	14135	11151
559	14171	11135
560	14210	11120
561	14243	11101
562	14283	11087
563	14334	11081
564	14378	11070
565	14423	11060
566	14462	11044
567	14496	11025
568	14529	11005
569	14570	10991
570	14607	10974
571	14643	10957
572	14675	10935
573	14700	10910
574	14729	10887
575	14757	10863
576	14787	10840
577	14821	10821
578	14851	10798
579	14880	10775
580	14917	10757
581	14942	10732
582	14976	10711
583	15004	10688
584	15043	10671
585	15111	10675
586	15186	10684
587	15269	10698
588	15356	10715
589	15399	10701
590	15436	10683
591	15468	10661
592	15506	10642
593	15541	10622
594	15583	10607
595	15619	10587
596	15656	10568
597	15692	10549
598	15731	10531
599	15790	10526
600	15828	10508
601	15864	10488
602	15902	10469
603	15935	10448
604	15971	10427
605	16012	10410
606	16047	10389
607	16081	10368
608	16112	10344
609	16145	10322
610	16177	10299
611	16212	10278
612	16246	10256
613	16279	10234
614	16307	10208
615	16337	10184
616	16370	10161
617	16405	10140
618	16435	10115
619	16466	10092
620	16501	10070
621	16535	10048
622	16567	10025
623	16599	10002
624	16633	9980
625	16666	9957
626	16707	9938
627	16751	9922
628	16793	9905
629	16826	9882
630	16860	9859
631	16894	9837
632	16926	9813
633	16959	9790
634	16990	9766
635	17025	9744
636	17056	9720
637	17090	9697
638	17116	9670
639	17157	9650
640	17189	9627
641	17225	9605
642	17259	9582
643	17298	9562
644	17332	9539
645	17366	9516
646	17409	9498
647	17442	9475
648	17477	9452
649	17511	9429
650	17545	9406
651	17578	9382
652	17610	9358
653	17640	9332
654	17670	9307
655	17702	9282
656	17735	9258
657	17772	9237
658	17807	9214
659	17841	9191
660	17876	9168
661	17907	9143
662	17938	9118
663	17970	9093
664	18003	9069
665	18032	9043
666	18086	9029
667	18157	9024
668	18233	9021
669	18278	9003
670	18306	8975
671	18340	8952
672	18371	8926
673	18399	8899
674	18430	8873
675	18457	8846
676	18492	8822
677	18525	8798
678	18555	8772
679	18584	8745
680	18611	8718
681	18658	8700
682	18689	8674
683	18720	8648
684	18748	8621
685	18772	8592
686	18799	8564
687	18824	8536
688	18852	8509
689	18880	8482
690	18907	8455
691	18948	8433
692	18974	8405
693	19004	8379
694	19034	8353
695	19061	8325
696	19087	8297
697	19112	8269
698	19136	8240
699	19161	8212
700	19187	8184
701	19212	8155
702	19237	8127
703	19260	8097
704	19282	8068
705	19303	8038
706	19323	8008
707	19348	7979
708	19370	7950
709	19395	7922
710	19418	7892
711	19444	7865
712	19471	7837
713	19495	7808
714	19517	7779
715	19546	7753
716	19570	7724
717	19603	7699
718	19632	7672
719	19659	7645
720	19687	7618
721	19719	7592
722	19765	7572
723	19809	7551
724	19848	7528
725	19896	7508
726	19943	7488
727	19982	7466
728	20021	7442
729	20052	7416
730	20079	7389
731	20105	7360
732	20128	7332
733	20152	7303
734	20174	7273
735	20196	7244
736	20218	7214
737	20240	7185
738	20265	7157
739	20312	7136
740	20352	7113
741	20379	7086
742	20404	7057
743	20427	7028
744	20448	6999
745	20470	6969
746	20493	6940
747	20515	6911
748	20540	6883
749	20562	6854
750	20586	6825
751	20612	6797
752	20634	6768
753	20656	6739
754	20679	6710
755	20703	6682
756	20727	6653
757	20758	6627
758	20790	6601
759	20815	6573
760	20843	6546
761	20870	6518
762	20896	6490
763	20924	6463
764	20948	6435
765	20971	6406
766	20993	6377
767	21019	6349
768	21043	6321
769	21077	6296
770	21110	6270
771	21134	6241
772	21165	6215
773	21192	6188
774	21219	6160
775	21248	6133
776	21277	6106
777	21310	6080
778	21339	6053
779	21363	6025
780	21386	5996
781	21409	5968
782	21432	5939
783	21455	5911
784	21480	5883
785	21502	5854
786	21525	5825
787	21549	5797
788	21572	5768
789	21593	5740
790	21617	5711
791	21640	5683
792	21670	5656
793	21702	5630
794	21728	5602
795	21761	5577
796	21790	5550
797	21819	5523
798	21842	5494
799	21866	5466
800	21890	5438
801	21916	5410
802	21940	5382
803	21967	5355
804	21991	5327
805	22019	5299
806	22043	5271
807	22067	5243
808	22094	5216
809	22123	5189
810	22151	5162
811	22176	5134
812	22201	5106
813	22224	5078
814	22252	5051
815	22278	5023
816	22304	4996
817	22336	4969
818	22366	4942
819	22393	4915
820	22418	4887
821	22442	4859
822	22464	4831
823	22489	4803
824	22513	4775
825	22538	4747
826	22563	4720
827	22603	4695
828	22625	4667
829	22647	4638
830	22673	4611
831	22697	4583
832	22720	4554
833	22745	4527
834	22769	4499
835	22792	4471
836	22817	4443
837	22843	4416
838	22867	4388
839	22891	4360
840	22916	4332
841	22939	4304
842	22963	4276
843	22989	4249
844	23014	4221
845	23036	4193
846	23059	4165
847	23083	4137
848	23108	4109
849	23131	4082
850	23156	4054
851	23179	4026
852	23205	3999
853	23229	3971
854	23253	3943
855	23275	3915
856	23299	3887
857	23322	3859
858	23346	3832
859	23369	3804
860	23392	3776
861	23415	3748
862	23440	3721
863	23462	3693
864	23486	3665
865	23507	3637
866	23530	3609
867	23551	3581
868	23573	3553
869	23597	3526
870	23618	3498
871	23641	3470
872	23663	3442
873	23687	3414
874	23708	3386
875	23731	3359
876	23753	3331
877	23776	3303
878	23800	3276
879	23822	3248
880	23847	3221
881	23870	3193
882	23893	3165
883	23916	3138
884	23939	3110
885	23963	3083
886	23987	3055
887	24009	3028
888	24031	3000
889	24053	2972
890	24076	2945
891	24100	2917
892	24124	2890
893	24148	2863
894	24175	2836
895	24204	2809
896	24229	2782
897	24254	2754
898	24281	2728
899	24307	2700
900	24335	2673
901	24361	2646
902	24391	2620
903	24422	2593
904	24452	2566
905	24480	2539
906	24504	2512
907	24528	2485
908	24553	2458
909	24580	2431
910	24604	2403
911	24631	2376
912	24656	2349
913	24683	2322
914	24708	2295
915	24733	2268
916	24757	2240
917	24779	2213
918	24799	2185
919	24822	2158
920	24880	2134
921	24906	2107
922	24928	2079
923	24955	2052
924	24982	2025
925	25007	1998
926	25031	1971
927	25055	1943
928	25082	1916
929	25106	1889
930	25134	1862
931	25157	1835
932	25185	1808
933	25211	1781
934	25236	1754
935	25263	1727
936	25288	1700
937	25316	1673
938	25343	1646
939	25366	1619
940	25388	1591
941	25410	1564
942	25433	1537
943	25457	1510
944	25481	1483
945	25503	1455
946	25528	1428
947	25553	1401
948	25580	1374
949	25604	1347
950	25628	1320
951	25653	1293
952	25677	1266
953	25700	1239
954	25725	1212
955	25749	1185
956	25778	1158
957	25804	1131
958	25827	1104
959	25853	1077
960	25875	1050
961	25896	1022
962	25917	995
963	25941	968
964	25965	941
965	25996	915
966	26046	888
967	26077	862
968	26124	835
969	26160	809
970	26195	782
971	26235	755
972	26274	729
973	26308	702
974	26345	675
975	26379	648
976	26408	621
977	26434	594
978	26472	567
979	26515	541
980	26554	514
981	26602	487
982	26627	460
983	26659	433
984	26696	406
985	26731	379
986	26761	352
987	26786	325
988	26873	298
989	26913	271
990	26954	244
991	26985	217
992	27014	190
993	27059	163
994	27097	136
995	27135	108
996	27175	81
997	27230	54
998	27270	27
999	27308	0
