iter	Passed	Remaining
0	181	181669
1	202	100812
2	218	72530
3	237	59068
4	255	50926
5	274	45484
6	292	41483
7	312	38740
8	332	36622
9	347	34447
10	369	33250
11	390	32129
12	414	31437
13	437	30814
14	461	30315
15	486	29940
16	510	29546
17	535	29215
18	560	28930
19	581	28515
20	594	27722
21	621	27633
22	650	27623
23	673	27395
24	694	27090
25	716	26847
26	738	26623
27	749	26018
28	771	25821
29	792	25608
30	811	25373
31	833	25214
32	854	25040
33	875	24880
34	883	24368
35	903	24192
36	924	24055
37	944	23920
38	981	24186
39	1008	24201
40	1030	24110
41	1054	24046
42	1081	24059
43	1099	23898
44	1117	23707
45	1142	23702
46	1163	23599
47	1185	23516
48	1206	23412
49	1219	23175
50	1236	23007
51	1255	22896
52	1277	22820
53	1298	22740
54	1318	22650
55	1339	22572
56	1360	22500
57	1380	22418
58	1400	22334
59	1420	22253
60	1441	22185
61	1460	22093
62	1485	22100
63	1511	22101
64	1537	22109
65	1561	22092
66	1585	22077
67	1606	22019
68	1627	21954
69	1648	21906
70	1663	21762
71	1684	21709
72	1709	21712
73	1733	21688
74	1753	21629
75	1761	21422
76	1783	21383
77	1804	21334
78	1825	21285
79	1845	21225
80	1859	21098
81	1879	21037
82	1898	20976
83	1919	20933
84	1940	20888
85	1959	20820
86	1980	20784
87	2000	20733
88	2022	20699
89	2041	20642
90	2061	20596
91	2082	20554
92	2103	20510
93	2121	20450
94	2144	20424
95	2165	20389
96	2186	20351
97	2193	20193
98	2208	20097
99	2229	20066
100	2261	20129
101	2282	20092
102	2302	20055
103	2309	19895
104	2318	19762
105	2331	19664
106	2350	19618
107	2372	19595
108	2381	19464
109	2400	19422
110	2419	19378
111	2439	19345
112	2451	19245
113	2470	19204
114	2491	19175
115	2513	19153
116	2532	19114
117	2538	18970
118	2557	18935
119	2578	18908
120	2597	18866
121	2605	18752
122	2627	18734
123	2647	18705
124	2667	18671
125	2687	18642
126	2710	18629
127	2732	18611
128	2752	18583
129	2769	18533
130	2788	18499
131	2808	18470
132	2821	18390
133	2829	18285
134	2849	18258
135	2871	18244
136	2877	18127
137	2882	18006
138	2904	17988
139	2924	17966
